id_nspn,date_homework,event,ppq_01_quality_time,ppq_02_attend_school,ppq_03_affection,ppq_04_get_me,ppq_05_comforted,ppq_06_angry_listen,ppq_07_praised,ppq_08_ideas_encouraged,ppq_09_priority,ppq_10_loved,ppq_11_listened_to,ppq_12_contact,ppq_13_home_safe,ppq_14_opinions_valued,ppq_15_talked_important,ppq_16_privacy_respected,ppq_17_friends_welcomed,ppq_18_clothes,ppq_19_pocket_money,ppq_20_ask,ppq_21_achieve,ppq_22_cared_unwell,ppq_23_skills,ppq_24_advice,ppq_25_learn_school,ppq_26_progress,ppq_positive_parenti_v_16
10174,29/07/2015,Home Questionnaire Pack 2,Sometimes,Mostly,Mostly,Mostly,Mostly,Mostly,Always,Mostly,Mostly,Mostly,Mostly,Always,Mostly,Mostly,Mostly,Mostly,Always,Always,Always,Always,Always,Always,Always,Mostly,Always,Always,Complete
10182,01/12/2012,Home Questionnaire Pack 1,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Mostly,Always,Mostly,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10182,04/01/2014,Home Questionnaire Pack 2,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10182,29/10/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10190,24/11/2012,Home Questionnaire Pack 1,Always,Always,Always,Always,Always,Always,Mostly,Always,Always,Always,Always,Always,Always,Always,Always,Mostly,Always,Always,Mostly,Always,Always,Always,Mostly,Always,Always,Always,Complete
10190,11/12/2013,Home Questionnaire Pack 2,Always,Mostly,Mostly,Mostly,Always,Always,Always,Always,Mostly,Always,Always,Always,Always,Always,Always,Mostly,Mostly,Mostly,Mostly,Mostly,Always,Always,Mostly,Mostly,Always,Always,Complete
10190,17/07/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10207,02/12/2012,Home Questionnaire Pack 1,Sometimes,Sometimes,Sometimes,Mostly,Rarely,Mostly,Mostly,Mostly,Mostly,Always,Mostly,Mostly,Mostly,Mostly,Sometimes,Mostly,Always,Always,Sometimes,Mostly,Always,Always,Mostly,Mostly,Always,Always,Complete
10207,01/02/2014,Home Questionnaire Pack 2,Mostly,Mostly,Sometimes,Mostly,Sometimes,Sometimes,Always,Mostly,Always,Always,Mostly,Always,Always,Mostly,Mostly,Mostly,Always,Always,Always,Mostly,Always,Always,Mostly,Mostly,Always,Always,Complete
10207,11/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10215,08/01/2013,Home Questionnaire Pack 1,Sometimes,Rarely,Rarely,Always,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Mostly,Sometimes,Mostly,Mostly,Sometimes,Sometimes,Always,Sometimes,Always,Always,Always,Always,Mostly,Sometimes,Sometimes,Always,Mostly,Complete
